type,subtype,ts,user,text,inviter,client_msg_id,team,user_team,source_team,user_profile,blocks,thread_ts,reply_count,reply_users_count,latest_reply,reply_users,replies,is_locked,subscribed,parent_user_id,channel_name
message,channel_join,1620629188.0002,U01RSRE0N3D,<@U01RSRE0N3D> has joined the channel,,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620629256.0004,U01SJKB2MG8,<@U01SJKB2MG8> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640182.0006,U01RXCQHMHT,<@U01RXCQHMHT> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640183.0008,U01S7BM4N81,<@U01S7BM4N81> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640183.001,U01S133DZ9A,<@U01S133DZ9A> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640183.0012,U01S7KCL3DF,<@U01S7KCL3DF> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640184.0014,U01RNEU3SNA,<@U01RNEU3SNA> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640184.0016,U01RVSTNRRT,<@U01RVSTNRRT> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640184.0018,U01RV3K524T,<@U01RV3K524T> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640184.002,U01RS9Y6UJH,<@U01RS9Y6UJH> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640184.0022,U01RKN0EGDV,<@U01RKN0EGDV> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640185.0024,U01SK96QF5E,<@U01SK96QF5E> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640185.0026,U01S79YDELR,<@U01S79YDELR> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640185.0028,U01RN7BVD1C,<@U01RN7BVD1C> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640186.003,U01S6LCPM0C,<@U01S6LCPM0C> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640186.0032,U01S0P26NKD,<@U01S0P26NKD> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640186.0034,U01RP2K1606,<@U01RP2K1606> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640186.0036,U01S65G72SY,<@U01S65G72SY> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640187.0038,U01RRV4JX6Z,<@U01RRV4JX6Z> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640187.004,U01S081EULS,<@U01S081EULS> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640187.0042,U01S0E0MRJ7,<@U01S0E0MRJ7> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640187.0044,U01S1CWGTU4,<@U01S1CWGTU4> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640188.0046,U01S0MFJ3HR,<@U01S0MFJ3HR> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640188.0048,U01SD3CDH9P,<@U01SD3CDH9P> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640188.005,U01RW2X7S9Z,<@U01RW2X7S9Z> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640188.0052,U01S6L7HLUC,<@U01S6L7HLUC> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620640204.0054,U01RW140HBP,<@U01RW140HBP> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,finalproject
message,,1620640364.0059,U01S7BM4N81,Any collab experts here? :slightly_smiling_face: I am running into issues with an object identification model,,34f05050-4356-4328-912a-80f1fa11e6e7,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '2adfc641e87e', 'image_72': 'https://avatars.slack-edge.com/2021-04-16/1994438084416_2adfc641e87e3a953d9c_72.png', 'first_name': 'Thamo', 'real_name': 'Thamo', 'display_name': 'Thamo', 'team': 'T01RBRV5F7H', 'name': 'thamokoeper', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'n+D4', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Any collab experts here? '}, {'type': 'emoji', 'name': 'slightly_smiling_face'}, {'type': 'text', 'text': ' I am running into issues with an object identification model'}]}]}]",1620640364.0059,1.0,1.0,1620640747.0064,['U01RW140HBP'],"[{'user': 'U01RW140HBP', 'ts': '1620640747.006400'}]",0.0,0.0,,finalproject
message,,1620640747.0064,U01RW140HBP,"im certainly not an expert but happy to try to help, do you want to give us some context  or share the colab so far?",,210d5a28-d10f-4f1c-b8d0-874f25c8251f,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '4c43a3a8d10b', 'image_72': 'https://avatars.slack-edge.com/2021-03-21/1895736308209_4c43a3a8d10bc2fe5e13_72.png', 'first_name': 'siand', 'real_name': 'siand the LT (she/her)', 'display_name': 'siand the LT (she/her)', 'team': 'T01RBRV5F7H', 'name': 'sian.davies', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'eSK+', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'im certainly not an expert but happy to try to help, do you want to give us some context  or share the colab so far?'}]}]}]",1620640364.0059,,,,,,,,U01S7BM4N81,finalproject
